name,nationality,sport,gold,silver,bronze,total
Alexander Molerio Quintana,CUB,shooting,0,0,0,0
Alexander Naddour,USA,gymnastics,0,0,1,1
Alexander Peya,AUT,tennis,0,0,0,0
Alexander Russo,BRA,athletics,0,0,0,0
Alexander Schmirl,AUT,shooting,0,0,0,0
Alexander Shatilov,ISR,gymnastics,0,0,0,0
Alexander Shibaev,RUS,table tennis,0,0,0,0
Alexander Sigurbjornsson,ESP,rowing,0,0,0,0
Alexander Sukhorukov,RUS,aquatics,0,0,0,0
Alexander Volkov,RUS,volleyball,0,0,0,0
Alexandr Spac,MDA,weightlifting,0,0,0,0
Alexandr Yemelyanov,KAZ,canoe,0,0,0,0
Alexandr Zaichikov,KAZ,weightlifting,0,0,1,1
Alexandra Burghardt,GER,athletics,0,0,0,0
Alexandra Danson,GBR,hockey,1,0,0,1
Alexandra Hagan,AUS,rowing,0,0,0,0
Alexandra Keresztesi,ARG,canoe,0,0,0,0
Alexandra Lacrabere,FRA,handball,0,1,0,1
Alexandra Longova,SVK,archery,0,0,0,0
Alexandra Martinez,BRA,handball,0,0,0,0
Alexandra Mirca,MDA,archery,0,0,0,0
Alexandra Nemich,KAZ,aquatics,0,0,0,0
Alexandra Oquendo,PUR,volleyball,0,0,0,0
Alexandra Popp,GER,football,1,0,0,1
Alexandra Privalova,BLR,table tennis,0,0,0,0
Alexandra Raisman,USA,gymnastics,1,2,0,3
Alexandra Razarenova,RUS,triathlon,0,0,0,0
Alexandra Tavernier,FRA,athletics,0,0,0,0
Alexandra Touretski,SUI,aquatics,0,0,0,0
Alexandra Wenk,GER,aquatics,0,0,0,0
Alexandra Wester,GER,athletics,0,0,0,0
Alexandre Ayache,FRA,equestrian,0,0,0,0
Alexandre Bouzaid,SEN,fencing,0,0,0,0
Alexandre Camarasa,FRA,aquatics,0,0,0,0
Alexandre Camargo,BRA,fencing,0,0,0,0
Alexandre Haldemann,SUI,aquatics,0,0,0,0
Alexandre Iddir,FRA,judo,0,0,0,0
Alexandre de Paeuw,BEL,hockey,0,0,0,0
Alexandres Gounas,GRE,aquatics,0,0,0,0
Alexandrina Cabral,ESP,handball,0,0,0,0
Alexandro Pozzer,BRA,handball,0,0,0,0
Alexandros Papamichail,GRE,athletics,0,0,0,0
Alexei Klimov,RUS,shooting,0,0,0,0
Alexei Sancov,MDA,aquatics,0,0,0,0
Alexej Prochorow,GER,weightlifting,0,0,0,0
Alexey Alipov,RUS,shooting,0,0,0,0
Alexey Cheremisinov,RUS,fencing,1,0,0,1
Alexey Denisenko,RUS,taekwondo,0,1,0,1
Alexey Dergunov,KAZ,canoe,0,0,0,0
Alexey Verbov,RUS,volleyball,0,0,0,0
Alexey Yakimenko,RUS,fencing,0,0,0,0
Alexi Pappas,GRE,athletics,0,0,0,0
Alexis Gonzalez,ARG,volleyball,0,0,0,0
Alexis Raynaud,FRA,shooting,0,0,1,1
Alexis Santos,POR,aquatics,0,0,0,0
Alexis Soto,ARG,football,0,0,0,0
Alexis Vuillermoz,FRA,cycling,0,0,0,0
Alexus Laird,SEY,aquatics,0,0,0,0
Alfonso Antonio Leyva Yepez,MEX,wrestling,0,0,0,0
Alfonso Benavides Lopez de Ayala,ESP,canoe,0,0,0,0
Alfred Kipketer,KEN,athletics,0,0,0,0
Alfredo Campo,ECU,cycling,0,0,0,0
Alfredo Talavera,MEX,football,0,0,0,0
Alhussein Gambour,LBA,rowing,0,0,0,0
Ali Adnan,IRQ,football,0,0,0,0
Ali Elghrari,LBA,archery,0,0,0,0
Ali Eren Demirezen,TUR,boxing,0,0,0,0
Ali Faez,IRQ,football,0,0,0,0
Ali Hashemi,IRI,weightlifting,0,0,0,0
Ali Hisny,IRQ,football,0,0,0,0
Ali Kaya,TUR,athletics,0,0,0,0
Ali Khalafalla,EGY,aquatics,0,0,0,0
Ali Khamis Khamis,BRN,athletics,0,0,0,0
Ali Krieger,USA,football,0,0,0,0
Ali Messaoudi,ALG,athletics,0,0,0,0
Ali Nouisri,TUN,cycling,0,0,0,0
Ali Pakdaman,IRI,fencing,0,0,0,0
Ali Riley,NZL,football,0,0,0,0
Ali Suljic,SWE,football,0,0,0,0
Ali Yousef Al Rumaihi,QAT,equestrian,0,0,0,0
Ali Zein Mohamed,EGY,handball,0,0,0,0
Alia Atkinson,JAM,aquatics,0,0,0,0
Alia Saeed Mohammed,UAE,athletics,0,0,0,0
Aliaksandr Bersanau,BLR,weightlifting,0,0,0,0
Aliaksandr Buikevich,BLR,fencing,0,0,0,0
Aliaksandr Liakhovich,BLR,athletics,0,0,0,0
Aliaksandra Herasimenia,BLR,aquatics,0,0,1,1
Aliaksandra Tarasava,BLR,basketball,0,0,0,0
Aliaksei Mzhachyk,BLR,weightlifting,0,0,0,0
Alican Kaynar,TUR,sailing,0,0,0,0
Alice Aprot Nawowuna,KEN,athletics,0,0,0,0
Alice Ingley,AUS,archery,0,0,0,0
Alice Mizzau,ITA,aquatics,0,0,0,0
Alice Naber-Lozeman,NED,equestrian,0,0,0,0
Alice Richardson,GBR,rugby sevens,0,0,0,0
Alice Schlesinger,GBR,judo,0,0,0,0
Alice Sinno,ITA,sailing,0,0,0,0
Alice Sotero,ITA,modern pentathlon,0,0,0,0
Alicia Blagg,GBR,aquatics,0,0,0,0
Alicia Brown,CAN,athletics,0,0,0,0
Alicia Cebrian Martinez de Lagos,ESP,sailing,0,0,0,0
Alicia Coutts,AUS,aquatics,0,0,0,0
Alicia Magaz,ESP,hockey,0,0,0,0
Alicia Quirk,AUS,rugby sevens,1,0,0,1
Alicja Tchorz,POL,aquatics,0,0,0,0
Alin Alexuc Ciurariu,ROU,wrestling,0,0,0,0
Alin Coste,ROU,aquatics,0,0,0,0
Alin George Moldoveanu,ROU,shooting,0,0,0,0
Alina Armas,NAM,athletics,0,0,0,0
Alina Fodorova,UKR,athletics,0,0,0,0
Alina Komashchuk,UKR,fencing,0,1,0,1
Alina Logvynenko,UKR,athletics,0,0,0,0
Alina Rotaru,ROU,athletics,0,0,0,0
Alina Stadnik Makhynia,UKR,wrestling,0,0,0,0
Alina Talay,BLR,athletics,0,0,0,0
Aline,BRA,football,0,0,0,0
Aline Focken,GER,wrestling,0,0,0,0
