name,nationality,sport,gold,silver,bronze,total
Aline da Silva Ferreira,BRA,wrestling,0,0,0,0
Aliona Dubitskaya,BLR,athletics,0,0,0,0
Alireza Khojasteh,IRI,judo,0,0,0,0
Alireza Mohammad Karimimachiani,IRI,wrestling,0,0,0,0
Alisa Kano,USA,gymnastics,0,0,0,0
Alisa Kiriliuk,RUS,sailing,0,0,0,0
Alise Post,USA,cycling,0,1,0,1
Alisha Glass,USA,volleyball,0,0,1,1
Alison Cerutti,BRA,volleyball,1,0,0,1
Alison Young,GBR,sailing,0,0,0,0
Alistair Bond,NZL,rowing,0,0,0,0
Alistair Brownlee,GBR,triathlon,1,0,0,1
Aliya Mustafina,RUS,gymnastics,1,1,1,3
Aliyah Abrams,GUY,athletics,0,0,0,0
Alize Cornet,FRA,tennis,0,0,0,0
Alla Cherkasova,UKR,wrestling,0,0,0,0
Alla Shishkina,RUS,aquatics,1,0,0,1
Allan Banegas,HON,football,0,0,0,0
Allan Fa'alava'au,AUS,rugby sevens,0,0,0,0
Allan Gutierrez,HON,aquatics,0,0,0,0
Allan Julie,SEY,sailing,0,0,0,0
Allan Norregaard,DEN,sailing,0,0,0,0
Allan do carmo,BRA,aquatics,0,0,0,0
Allans Vargas,HON,football,0,0,0,0
Allar Raja,EST,rowing,0,0,1,1
Allie Long,USA,football,0,0,0,0
Allison Beveridge,CAN,cycling,0,0,1,1
Allison M. Brock,USA,equestrian,0,0,1,1
Allison Pineau,FRA,handball,0,1,0,1
Allison Schmitt,USA,aquatics,1,1,0,2
Allistar Clarke,SKN,athletics,0,0,0,0
Allysha Chapman,CAN,football,0,0,1,1
Allyson Felix,USA,athletics,2,1,0,3
Allyson Ponson,ARU,aquatics,0,0,0,0
Almat Kebispayev,KAZ,wrestling,0,0,0,0
Almaz Ayana,ETH,athletics,1,0,1,2
Almir Velagic,GER,weightlifting,0,0,0,0
Almuth Schult,GER,football,1,0,0,1
Alona Koshevatskiy,ISR,gymnastics,0,0,0,0
Alona Ribakova,LAT,aquatics,0,0,0,0
Alonso Edward,PAN,athletics,0,0,0,0
Alonso Valdez Prado,PER,equestrian,0,0,0,0
Alonzo Russell,BAH,athletics,0,0,1,1
Alphas Leken Kishoyian,KEN,athletics,0,0,0,0
Alphonce Felix Simbu,TAN,athletics,0,0,0,0
Altobeli da Silva,BRA,athletics,0,0,0,0
Alvaro Doda de Miranda,BRA,equestrian,0,0,0,0
Alvaro Iglesias,ESP,hockey,0,0,0,0
Alvaro Martin,ESP,athletics,0,0,0,0
Alvaro de Arriba,ESP,athletics,0,0,0,0
Alvin Singh,FIJ,football,0,0,0,0
Alyce Burnett,AUS,canoe,0,0,0,0
Alyn Camara,GER,athletics,0,0,0,0
Alysbeth Felix,PUR,athletics,0,0,0,0
Alysha Newman,CAN,athletics,0,0,0,0
Alyson Dixon,GBR,athletics,0,0,0,0
Alyssa Bull,AUS,canoe,0,0,0,0
Alyssa Conley,RSA,athletics,0,0,0,0
Alyssa Manley,USA,hockey,0,0,0,0
Alyssa Naeher,USA,football,0,0,0,0
Alyxandria Treasure,CAN,athletics,0,0,0,0
Alzbeta Dufkova,CZE,aquatics,0,0,0,0
Amadou Camara,GUI,aquatics,0,0,0,0
Amadou Ndiaye,SEN,athletics,0,0,0,0
Amaia Erbina,ESP,rugby sevens,0,0,0,0
Amaka Ogoegbunam,NGR,athletics,0,0,0,0
Amalie Dideriksen,DEN,cycling,0,0,0,0
Amalie Iuel,NOR,athletics,0,0,0,0
Amalie Thomsen,DEN,canoe,0,0,0,0
Amaliya Sharoyan,ARM,athletics,0,0,0,0
Aman Wote,ETH,athletics,0,0,0,0
Amanda Araujo,BRA,rugby sevens,0,0,0,0
Amanda Carr,THA,cycling,0,0,0,0
Amanda Dlamini,RSA,football,0,0,0,0
Amanda Elmore,USA,rowing,1,0,0,1
Amanda Ilestedt,SWE,football,0,0,0,0
Amanda Kurtovic,NOR,handball,0,0,1,1
Amanda Ng,SIN,sailing,0,0,0,0
Amanda Oliveira,BRA,aquatics,0,0,0,0
Amanda Polk,USA,rowing,1,0,0,1
Amanda Simeao,BRA,fencing,0,0,0,0
Amanda Spratt,AUS,cycling,0,0,0,0
Amanda Weir,USA,aquatics,0,1,0,1
Amandine Henry,FRA,football,0,0,0,0
Amandine Leynaud,FRA,handball,0,1,0,1
Amandine Lhote,FRA,canoe,0,0,0,0
Amanmurad Hommadov,TKM,athletics,0,0,0,0
Amanuel Mesel,ERI,athletics,0,0,0,0
Amar Music,CRO,weightlifting,0,0,0,0
Amarhajy Mahamedau,BLR,wrestling,0,0,0,0
Amas Daniel,NGR,wrestling,0,0,0,0
Amber Campbell,USA,athletics,0,0,0,0
Amber Hearn,NZL,football,0,0,0,0
Amber Hill,GBR,shooting,0,0,0,0
Ambroise Uwiragiye,RWA,athletics,0,0,0,0
Ameen Zakkar,QAT,handball,0,0,0,0
Ameer Webb,USA,athletics,0,0,0,0
Amel Bouderra,FRA,basketball,0,0,0,0
Amel Majri,FRA,football,0,0,0,0
Amel Tuka,BIH,athletics,0,0,0,0
Amela Terzic,SRB,athletics,0,0,0,0
Amelia Belotti,ARG,handball,0,0,0,0
Amelia Cozad,USA,aquatics,0,0,0,0
Amelia Gibson,NZL,hockey,0,0,0,0
Amelia Rosa Fournel,ARG,shooting,0,0,0,0
Amelie Kretz,CAN,triathlon,0,0,0,0
Amer Hrustanovic,AUT,wrestling,0,0,0,0
Ami Kondo,JPN,judo,0,0,1,1
Amidou Mir,FRA,cycling,0,0,0,0
Amie Thompson,AUS,aquatics,0,0,0,0
Amina Bettiche,ALG,athletics,0,0,0,0
Amina Kajtaz,BIH,aquatics,0,0,0,0
Amina Rouba,ALG,rowing,0,0,0,0
Aminat Oluwafunmilayo Adeniyi,NGR,wrestling,0,0,0,0
Aminath Shajan,MDV,aquatics,0,0,0,0
Amine Bannour,TUN,handball,0,0,0,0
Amine Belferar,ALG,athletics,0,0,0,0
Amini Tuitavake Fonua,TGA,aquatics,0,0,0,0
Aminu Umar,NGR,football,0,0,1,1
Amir Ghafour,IRI,volleyball,0,0,0,0
Amiran Papinashvili,GEO,judo,0,0,0,0
Amit Ivry,ISR,aquatics,0,0,0,0
Amjed Attwan,IRQ,football,0,0,0,0
Ammar Abdulhussein,IRQ,football,0,0,0,0
Ammara Pinto,MAW,aquatics,0,0,0,0
Amna Bakhit,SUD,athletics,0,0,0,0
Amnat Ruenroeng,THA,boxing,0,0,0,0
Amor Ben Yahia,TUN,athletics,0,0,0,0
Amro Elgeziry,EGY,modern pentathlon,0,0,0,0
Amy Cragg,USA,athletics,0,0,0,0
Amy Cure,AUS,cycling,0,0,0,0
Amy Millar,CAN,equestrian,0,0,0,0
Amy Sene,SEN,athletics,0,0,0,0
Amy Tinkler,GBR,gymnastics,0,0,1,1
Amy Turner,AUS,rugby sevens,1,0,0,1
Amy Wilson Hardy,GBR,rugby sevens,0,0,0,0
An-Li Kachelhoffer,RSA,cycling,0,0,0,0
Ana Beatriz Bulcao,BRA,fencing,0,0,0,0
Ana Cabecinha,POR,athletics,0,0,0,0
Ana Claudia Silva,BRA,athletics,0,0,0,0
Ana Dabovic,SRB,basketball,0,0,1,1
Ana Derek,CRO,gymnastics,0,0,0,0
Ana Dulce Felix,POR,athletics,0,0,0,0
Ana Gallay,ARG,volleyball,0,0,0,0
Ana Iulia Dascal,ROU,aquatics,0,0,0,0
Ana Ivanovic,SRB,tennis,0,0,0,0
Ana Jose Tima,DOM,athletics,0,0,0,0
Ana Konjuh,CRO,tennis,0,0,0,0
Ana Luiza Barbachan,BRA,sailing,0,0,0,0
Ana Luiza Filiorianu,ROU,gymnastics,0,0,0,0
Ana Marcela Cunha,BRA,aquatics,0,0,0,0
Ana Maria Popescu,ROU,fencing,1,0,0,1
Ana Maria Rendon,COL,archery,0,0,0,0
Ana Paula Belo,BRA,handball,0,0,0,0
Ana Paula Vergutz,BRA,canoe,0,0,0,0
Ana Perez,ESP,gymnastics,0,0,0,0
Ana Ramirez,COL,rugby sevens,0,0,0,0
Ana Rente,POR,gymnastics,0,0,0,0
Ana Roqica,FIJ,rugby sevens,0,0,0,0
Ana Sanabria,COL,cycling,0,0,0,0
Ana Satila,BRA,canoe,0,0,0,0
Ana Simic,CRO,athletics,0,0,0,0
Ana Sofia Gomez,GUA,gymnastics,0,0,0,0
Ana Sofia Nobrega,ANG,aquatics,0,0,0,0
Ana Veronica Rodean,ROU,athletics,0,0,0,0
Ana Zaninovic,CRO,taekwondo,0,0,0,0
Ana-Roxana Lehaci,AUT,canoe,0,0,0,0
Anabel Medina Garrigues,ESP,tennis,0,0,0,0
Anabelle Smith,AUS,aquatics,0,0,1,1
Anamari Velensek,SLO,judo,0,0,1,1
Anamaria Ionita,ROU,athletics,0,0,0,0
Anas Beshr,EGY,athletics,0,0,0,0
Anaso Jobodwana,RSA,athletics,0,0,0,0
Anass Ait El Abdia,MAR,cycling,0,0,0,0
Anass Houssein,DJI,judo,0,0,0,0
Anastasia Abrosimova,RUS,triathlon,0,0,0,0
Anastasia Bliznyuk,RUS,gymnastics,1,0,0,1
Anastasia Bogdanovski,MKD,aquatics,0,0,0,0
Anastasia Gloushkov Leventhal,ISR,aquatics,0,0,0,0
Anastasia Pavlova,UKR,archery,0,0,0,0
Anastasia Pavlyuchenkova,RUS,tennis,0,0,0,0
Anastasia Rodionova,AUS,tennis,0,0,0,0
Anastasia Shlyakhovaya,RUS,volleyball,0,0,0,0
Anastasia Simanovich,RUS,aquatics,0,0,1,1
Anastasiia Baryshnikova,RUS,taekwondo,0,0,0,0
Anastasiia Beliakova,RUS,boxing,0,0,1,1
Anastasiia Fesikova,RUS,aquatics,0,0,0,0
Anastasiia Hotfrid,GEO,weightlifting,0,0,0,0
Anastasiia Kozhenkova,UKR,rowing,0,0,0,0
Anastasiia Krapivina,RUS,aquatics,0,0,0,0
Anastasiia Lysenko,UKR,weightlifting,0,0,0,0
Anastasiia Maksimova,RUS,gymnastics,1,0,0,1
Anastasiia Nedobiga,UKR,aquatics,0,0,0,0
Anastasiia Tatareva,RUS,gymnastics,1,0,0,1
Anastasiia Todorova,UKR,canoe,0,0,0,0
Anastasiia Voinova,RUS,cycling,0,1,0,1
Anastasija Grigorjeva,LAT,wrestling,0,0,0,0
Anastasija Khmelnytska,GER,gymnastics,0,0,0,0
Anastasiya Mikhalenka,BLR,weightlifting,0,0,0,0
Anastasiya Prokopenko,BLR,modern pentathlon,0,0,0,0
Anastasiya Puzakova,BLR,athletics,0,0,0,0
Anastasiya Savchuk,UKR,aquatics,0,0,0,0
Anastasiya Serdyukova,UZB,gymnastics,0,0,0,0
Anastasiya Spas,UKR,modern pentathlon,0,0,0,0
Anastasiya Tulapina,KAZ,athletics,0,0,0,0
Anastasiya Tyurina,TJK,aquatics,0,0,0,0
Anastasiya Verameyenka,BLR,basketball,0,0,0,0
Anastasiya Voznyak,UKR,gymnastics,0,0,0,0
Anastassiya Pilipenko,KAZ,athletics,0,0,0,0
Anastassya Kudinova,KAZ,athletics,0,0,0,0
Anatolii Herey,UKR,fencing,0,0,0,0
Ancuta Bobocel,ROU,athletics,0,0,0,0
Andela Bulatovic,MNE,handball,0,0,0,0
Andelo Setka,CRO,aquatics,0,1,0,1
Ander Elosegi,ESP,canoe,0,0,0,0
Anders Dahl,DEN,equestrian,0,0,0,0
Anders Lie Nielsen,DEN,aquatics,0,0,0,0
Anders Pedersen,NOR,sailing,0,0,0,0
Anders Weiss,USA,rowing,0,0,0,0
Anderson Oliveira,BRA,canoe,0,0,0,0
Andile Dlamini,RSA,football,0,0,0,0
Andile Fikizolo,RSA,football,0,0,0,0
Andjelko Risticevic,SRB,athletics,0,0,0,0
Andranik Karapetyan,ARM,weightlifting,0,0,0,0
Andras Parti,HUN,cycling,0,0,0,0
Andras Redli,HUN,fencing,0,0,1,1
Andre,POR,football,0,0,0,0
Andre Breitbarth,GER,judo,0,0,0,0
Andre Fernando S. Martins Cardoso,POR,cycling,0,0,0,0
Andre Link,GER,shooting,0,0,0,0
Andre Matias,ANG,rowing,0,0,0,0
Andre Patrocinio,BRA,hockey,0,0,0,0
Andre Pereira,BRA,aquatics,0,0,0,0
Andre Sa,BRA,tennis,0,0,0,0
Andre Silva,BRA,rugby sevens,0,0,0,0
Andre Soares,BRA,handball,0,0,0,0
Andre de Grasse,CAN,athletics,0,1,2,3
Andrea Arsovic,SRB,shooting,0,0,0,0
Andrea Baldini,ITA,fencing,0,0,0,0
Andrea Brewster,IRL,sailing,0,0,0,0
Andrea Carolina Olaya Gutierrez,COL,wrestling,0,0,0,0
Andrea Cassara,ITA,fencing,0,0,0,0
Andrea Cedron,PER,aquatics,0,0,0,0
Andrea Chiarabini,ITA,aquatics,0,0,0,0
Andrea D'Arrigo,ITA,aquatics,0,0,0,0
Andrea Deelstra,NED,athletics,0,0,0,0
Andrea Fondelli,ITA,aquatics,0,0,1,1
Andrea Geubelle,USA,athletics,0,0,0,0
Andrea Hewitt,NZL,triathlon,0,0,0,0
Andrea Hlavackova,CZE,tennis,0,0,0,0
Andrea Ivancevic,CRO,athletics,0,0,0,0
Andrea Kilday,NZL,taekwondo,0,0,0,0
Andrea Klikovac,MNE,handball,0,0,0,0
Andrea Kneppers,NED,aquatics,0,0,0,0
Andrea Mayr,AUT,athletics,0,0,0,0
Andrea Micheletti,ITA,rowing,0,0,0,0
Andrea Miklos,ROU,athletics,0,0,0,0
Andrea Murez,ISR,aquatics,0,0,0,0
Andrea Perez Pena,ECU,shooting,0,0,0,0
Andrea Petkovic,GER,tennis,0,0,0,0
Andrea Salvisberg,SUI,triathlon,0,0,0,0
Andrea Santarelli,ITA,fencing,0,1,0,1
Andrea Seccafien,CAN,athletics,0,0,0,0
Andrea Tiberi,ITA,cycling,0,0,0,0
Andrea Toniato,ITA,aquatics,0,0,0,0
Andreanne Langlois,CAN,canoe,0,0,0,0
Andreas Bretschneider,GER,gymnastics,0,0,0,0
Andreas Bube,DEN,athletics,0,0,0,0
Andreas Chasikos,CYP,shooting,0,0,0,0
Andreas Kuffner,GER,rowing,0,1,0,1
Andreas Linde,SWE,football,0,0,0,0
Andreas Loew,GER,shooting,0,0,0,0
Andreas Maxso,DEN,football,0,0,0,0
Andreas Nilsson,SWE,handball,0,0,0,0
Andreas Pheobus Cariolou,CYP,sailing,0,0,0,0
Andreas Schilling,DEN,triathlon,0,0,0,0
Andreas Seppi,ITA,tennis,0,0,0,0
Andreas Toba,GER,gymnastics,0,0,0,0
Andreas Vazaios,GRE,aquatics,0,0,0,0
Andreas Wolff,GER,handball,0,0,1,1
Andreea Aanei,ROU,weightlifting,0,0,0,0
Andreea Arsine,ROU,athletics,0,0,0,0
Andreea Boghian,ROU,rowing,0,0,1,1
Andreea Chitu,ROU,judo,0,0,0,0
Andreea Mitu,ROU,tennis,0,0,0,0
Andrei Churyla,BLR,athletics,0,0,0,0
Andrei Gag,ROU,athletics,0,0,0,0
Andrei Jamsa,EST,rowing,0,0,1,1
Andrei Shabasov,RUS,aquatics,0,0,0,0
Andrei Vasile Muntean,ROU,gymnastics,0,0,0,0
Andrei Zamkovoi,RUS,boxing,0,0,0,0
Andreia Bandeira,BRA,boxing,0,0,0,0
Andreina Pinto,VEN,aquatics,0,0,0,0
Andrej Gacina,CRO,table tennis,0,0,0,0
Andrej Martin,SVK,tennis,0,0,0,0
Andrej Olijnik,LTU,canoe,0,0,0,0
Andres Arroyo,PUR,athletics,0,0,0,0
Andres Chocho,ECU,athletics,0,0,0,0
Andres Ducasse,CHI,sailing,0,0,0,0
Andres Eduardo Mata Perez,ESP,weightlifting,0,0,0,0
Andres Mauricio Caicedo Piedrahita,COL,weightlifting,0,0,0,0
Andres Mir,ESP,hockey,0,0,0,0
Andres Nocioni,ARG,basketball,0,0,0,0
Andres Pila,COL,archery,0,0,0,0
Andres Renteria,COL,football,0,0,0,0
Andres Roa,COL,football,0,0,0,0
Andres Roberto Montano Arroyo,ECU,wrestling,0,0,0,0
Andres Ruiz,COL,athletics,0,0,0,0
Andres Silva,URU,athletics,0,0,0,0
Andressa,BRA,football,0,0,0,0
Andressa Alves,BRA,football,0,0,0,0
Andressa de Morais,BRA,athletics,0,0,0,0
Andrew Amonde,KEN,rugby sevens,0,0,0,0
Andrew Bogut,AUS,basketball,0,0,0,0
Andrew Butchart,GBR,athletics,0,0,0,0
Andrew Campbell Jr,USA,rowing,0,0,0,0
Andrew Charter,AUS,hockey,0,0,0,0
Andrew Chetcuti,MLT,aquatics,0,0,0,0
Andrew Durutalo,USA,rugby sevens,0,0,0,0
Andrew Evans,USA,athletics,0,0,0,0
Andrew Fisher,BRN,athletics,0,0,0,0
Andrew Graham Peebles,ZIM,rowing,0,0,0,0
Andrew Lewis,TTO,sailing,0,0,0,0
Andrew Pozzi,GBR,athletics,0,0,0,0
Andrew Riley,JAM,athletics,0,0,0,0
Andrew T Hodge,GBR,rowing,1,0,0,1
Andrew Thomas Bisek,USA,wrestling,0,0,0,0
Andrew Thomas Mlugu,TAN,judo,0,0,0,0
Andrew Vernon,GBR,athletics,0,0,0,0
Andrew Willis,GBR,aquatics,0,0,0,0
Andrew Yorke,CAN,triathlon,0,0,0,0
Andrey Amador Bikkazakova,CRC,cycling,0,0,0,0
Andrey Ashchev,RUS,volleyball,0,0,0,0
Andrey Fonseca,CRC,cycling,0,0,0,0
Andrey Grechin,RUS,aquatics,0,0,0,0
Andrey Kraitor,RUS,canoe,0,0,0,0
Andrey Kuznetsov,RUS,tennis,0,0,0,0
Andrey Likhovitskiy,BLR,gymnastics,0,0,0,0
Andrey Mitin,RUS,equestrian,0,0,0,0
Andrey Petrov,UZB,athletics,0,0,0,0
Andrey Yerguchyov,KAZ,canoe,0,0,0,0
Andrey Yudin,RUS,gymnastics,0,0,0,0
Andrey Zeits,KAZ,cycling,0,0,0,0
Andri Eleftheriou,CYP,shooting,0,0,0,0
Andrii Govorov,UKR,aquatics,0,0,0,0
Andrii Khripta,UKR,cycling,0,0,0,0
Andrii Sienichkin,UKR,gymnastics,0,0,0,0
Andrija Prlainovic,SRB,aquatics,1,0,0,1
Andrija Sljukic,SRB,rowing,0,0,0,0
Andrique Allisop,SEY,boxing,0,0,0,0
Andrius Gudzius,LTU,athletics,0,0,0,0
Andrius Sidlauskas,LTU,aquatics,0,0,0,0
Andriy Fedechko,UKR,modern pentathlon,0,0,0,0
Andriy Grivko,UKR,cycling,0,0,0,0
Andriy Kvyatkovskyy,UKR,wrestling,0,0,0,0
Andriy Protsenko,UKR,athletics,0,0,0,0
Andriy Yagodka,UKR,fencing,0,0,0,0
Andro Buslje,CRO,aquatics,0,1,0,1
Andy Murray,GBR,tennis,1,0,0,1
Andy Ogide,NGR,basketball,0,0,0,0
Andy Pereira,CUB,table tennis,0,0,0,0
Ane Marcelle dos Santos,BRA,archery,0,0,0,0
Ane Santesteban Gonzalez,ESP,cycling,0,0,0,0
Anel Oosthuizen,RSA,athletics,0,0,0,0
Anette Viborg,DEN,sailing,0,0,0,0
Anezka Drahotova,CZE,athletics,0,0,0,0
Anfisa Pochkalova,UKR,fencing,0,0,0,0
Angel Correa,ARG,football,0,0,0,0
Angel Fournier Rodriguez,CUB,rowing,0,0,0,0
Angel Kodinov,BUL,canoe,0,0,0,0
Angel Lopez,ESP,rugby sevens,0,0,0,0
Angel McCoughtry,USA,basketball,1,0,0,1
Angel Pulgar,VEN,cycling,0,0,0,0
Angela Castro,BOL,athletics,0,0,0,0
Angela Clavijo,COL,football,0,0,0,0
Angela Hannah,GBR,canoe,0,0,0,0
Angela Malestein,NED,handball,0,0,0,0
Angela Petty,NZL,athletics,0,0,0,0
Angela Tenorio,ECU,athletics,0,0,0,0
Angela Whyte,CAN,athletics,0,0,0,0
Angela del Pan,ESP,rugby sevens,0,0,0,0
Angelica Bengtsson,SWE,athletics,0,0,0,0
Angelica Delgado,USA,judo,0,0,0,0
Angelica Moser,SUI,athletics,0,0,0,0
Angelica Roos,SWE,weightlifting,0,0,0,0
Angelica Wallen,SWE,handball,0,0,0,0
Angelika Cichocka,POL,athletics,0,0,0,0
Angelika Sita Ouedraogo,BUR,aquatics,0,0,0,0
Angelina Kysla,UKR,gymnastics,0,0,0,0
Angelina Melnikova,RUS,gymnastics,0,1,0,1
Angelique Kerber,GER,tennis,0,1,0,1
Angelos Vlachopoulos,GRE,aquatics,0,0,0,0
Angie Orjuela,COL,athletics,0,0,0,0
Angie Sabrina Gonzalez,VEN,cycling,0,0,0,0
Angus Groom,GBR,rowing,0,0,0,0
Anicka Newell,CAN,athletics,0,0,0,0
Anicka van Emden,NED,judo,0,0,1,1
Anika Lorenz,GER,sailing,0,0,0,0
Anilda Thomas,IND,athletics,0,0,0,0
Anirban Lahiri,IND,golf,0,0,0,0
Anish Khem,FIJ,football,0,0,0,0
Anisha Vekemans,BEL,cycling,0,0,0,0
Anissa Khelfaoui,ALG,fencing,0,0,0,0
Anita Alvarez,USA,aquatics,0,0,0,0
Anita Hinriksdottir,ISL,athletics,0,0,0,0
Anita Marton,HUN,athletics,0,0,1,1
Anita McLAREN,NZL,hockey,0,0,0,0
Anita Wlodarczyk,POL,athletics,1,0,0,1
Aniuar Geduev,RUS,wrestling,0,1,0,1
Aniya Necol Louissaint,HAI,taekwondo,0,0,0,0
Anja Crevar,SRB,aquatics,0,0,0,0
Anja Klinar,SLO,aquatics,0,0,0,0
Anja Mittag,GER,football,1,0,0,1
Anja Scherl,GER,athletics,0,0,0,0
Anjelina Nadai Lohalith,ROT,athletics,0,0,0,0
Anju Takamizawa,JPN,athletics,0,0,0,0
Ankhtsetseg Munkhjantsan,MGL,weightlifting,0,0,0,0
Ankit Sharma,IND,athletics,0,0,0,0
Ann-Sophie Duyck,BEL,cycling,0,0,0,0
Anna Boada Peiro,ESP,rowing,0,0,0,0
Anna Cruz,ESP,basketball,0,1,0,1
Anna Danesi,ITA,volleyball,0,0,0,0
Anna Dowgiert,POL,aquatics,0,0,0,0
Anna Emilie Moller,DEN,athletics,0,0,0,0
Anna Espar Llaquet,ESP,aquatics,0,0,0,0
Anna Flanagan,AUS,hockey,0,0,0,0
Anna Green,NZL,football,0,0,0,0
Anna Greta Olasz,HUN,aquatics,0,0,0,0
Anna Grineva,RUS,aquatics,0,0,1,1
Anna Hahner,GER,athletics,0,0,0,0
Anna Illes,HUN,aquatics,0,0,0,0
Anna Incerti,ITA,athletics,0,0,0,0
Anna Jagaciak,POL,athletics,0,0,0,0
Anna Jenny Fransson,SWE,wrestling,0,0,1,1
Anna Karnaukh,RUS,aquatics,0,0,1,1
Anna Karolina Schmiedlova,SVK,tennis,0,0,0,0
Anna Kasprzak,DEN,equestrian,0,0,0,0
Anna Kielbasinska,POL,athletics,0,0,0,0
Anna Knauer,GER,cycling,0,0,0,0
Anna Korakaki,GRE,shooting,1,0,1,2
Anna Kornuta,UKR,athletics,0,0,0,0
Anna Laurell Nash,SWE,boxing,0,0,0,0
Anna Lunyova,UKR,athletics,0,0,0,0
Anna Maliszewska,POL,modern pentathlon,0,0,0,0
Anna Malova,RUS,volleyball,0,0,0,0
Anna Malvina Svennung,SWE,rowing,0,0,0,0
Anna Maria Mazzetti,ITA,triathlon,0,0,0,0
Anna Maria Sepp,EST,sailing,0,0,0,0
Anna Marton,HUN,fencing,0,0,0,0
Anna Meares,AUS,cycling,0,0,1,1
Anna Nordqvist,SWE,golf,0,0,0,0
Anna Ntountounaki,GRE,aquatics,0,0,0,0
Anna Plichta,POL,cycling,0,0,0,0
Anna Santamans,FRA,aquatics,0,0,0,0
Anna Sedoykina,RUS,handball,1,0,0,1
Anna Sen,RUS,handball,1,0,0,1
Anna Sztankovics,HUN,aquatics,0,0,0,0
Anna Timofeeva,RUS,aquatics,0,0,1,1
Anna Titimets,UKR,athletics,0,0,0,0
Anna Ustyukhina,RUS,aquatics,0,0,1,1
Anna Voloshyna,UKR,aquatics,0,0,0,0
Anna Vyakhireva,RUS,handball,1,0,0,1
Anna Wierzbowska,POL,rowing,0,0,0,0
Anna van der Breggen,NED,cycling,1,0,1,2
Anna-Lena Groenefeld,GER,tennis,0,0,0,0
Anna-Maria Alexandri,AUT,aquatics,0,0,0,0
Annabel Laure Ali,CMR,wrestling,0,0,0,0
Annalie Longo,NZL,football,0,0,0,0
Annalise Murphy,IRL,sailing,0,1,0,1
Anne Andersen,DEN,rowing,0,0,1,1
Anne Buijs,NED,volleyball,0,0,0,0
Anne Cairns,SAM,canoe,0,0,0,0
Anne Haug,GER,triathlon,0,0,0,0
Anne Holm Baumeister,DEN,athletics,0,0,0,0
Anne Lolk Thomsen,DEN,rowing,0,0,0,0
Anne Schroder,GER,hockey,0,0,1,1
Anne Terpstra,NED,cycling,0,0,0,0
Anne Zagre,BEL,athletics,0,0,0,0
Anne-Mari Hyrylainen,FIN,athletics,0,0,0,0
Anne-Marie Rindom,DEN,sailing,0,0,1,1
Anneisha McLaughlin-Whilby,JAM,athletics,0,1,0,1
Annekatrin Thiele,GER,rowing,1,0,0,1
Anneliese Rubie,AUS,athletics,0,0,0,0
Anneloes van Veen,NED,sailing,0,0,0,0
Annemiek Bekkering,NED,sailing,0,0,0,0
Annemiek van Vleuten,NED,cycling,0,0,0,0
Annette Duetz,NED,sailing,0,0,0,0
Annette Edmondson,AUS,cycling,0,0,0,0
Anni Teija Orvokki Vuohijoki,FIN,weightlifting,0,0,0,0
Annie Haeger,USA,sailing,0,0,0,0
Annika Beck,GER,tennis,0,0,0,0
Annika Bochmann,GER,sailing,0,0,0,0
Annika Bruhn,GER,aquatics,0,0,0,0
Annika Langvad,DEN,cycling,0,0,0,0
Annika Roloff,GER,athletics,0,0,0,0
Annika Schleu,GER,modern pentathlon,0,0,0,0
Annika Sprink,GER,hockey,0,0,1,1
Annike Krahn,GER,football,1,0,0,1
Annsert Whyte,JAM,athletics,0,0,0,0
Ano Kuwai,JPN,rugby sevens,0,0,0,0
Anouk Verge-Depre,SUI,volleyball,0,0,0,0
Anouk Vetter,NED,athletics,0,0,0,0
Anqi Xu,CHN,fencing,0,1,0,1
Antanas Kavaliauskas,LTU,basketball,0,0,0,0
Anthonique Strachan,BAH,athletics,0,0,0,0
Anthonny Sitraka Ralefy,MAD,aquatics,0,0,0,0
Anthony Barbar,LIB,aquatics,0,0,0,0
Anthony Dean,AUS,cycling,0,0,0,0
Anthony Ervin,USA,aquatics,2,0,0,2
Anthony Fahden,USA,rowing,0,0,0,0
Anthony Mylann Obame,GAB,taekwondo,0,0,0,0
Anthony Perez,VEN,basketball,0,0,0,0
Anthony Romaniw,CAN,athletics,0,0,0,0
Anthony Terras,FRA,shooting,0,0,0,0
Anthony Zambrano,COL,athletics,0,0,0,0
Antigoni Drisbioti,GRE,athletics,0,0,0,0
Antje von Seydlitz-Kurzbach,CAN,rowing,0,0,0,0
Antoaneta Boneva,BUL,shooting,0,0,0,0
Antoine Adams,SKN,athletics,0,0,0,0
Antoine Bouchard,CAN,judo,0,0,0,0
Antoine Diot,FRA,basketball,0,0,0,0
Antoine Duchesne,CAN,cycling,0,0,0,0
Antoine Gakeme,BDI,athletics,0,0,0,0
Antoine Gillet,BEL,athletics,0,0,0,0
Antoine Valois-Fortier,CAN,judo,0,0,0,0
Antoinette Gasongo,BDI,judo,0,0,0,0
Antoinette Nana Djimou Ida,FRA,athletics,0,0,0,0
Anton Astakhov,RUS,shooting,0,0,0,0
Anton Avdeev,RUS,fencing,0,0,0,0
Anton Braun,GER,rowing,0,0,0,0
Anton Chupkov,RUS,aquatics,0,0,1,1
Anton Dahlberg,SWE,sailing,0,0,0,0
Anton Fokin,UZB,gymnastics,0,0,0,0
Anton Ipsen,DEN,aquatics,0,0,0,0
Anton Kosmac,SLO,athletics,0,0,0,0
Anton Kucmin,SVK,athletics,0,0,0,0
